,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineStyle,Full_Name
710,Monti Garbi Valpolicella Ripasso Superiore 2017,Italy,Valpolicella Ripasso,Tenuta Sant'Antonio,3.9,1220,9.95,2017,red,Monti Garbi Valpolicella Ripasso Superiore 2017 Tenuta Sant'Antonio red
711,Cabernet Sauvignon (Cs) 2016,United States,Columbia Valley,Substance,3.8,1221,21.8,2016,red,Cabernet Sauvignon (Cs) 2016 Substance red
712,Rocca Rubia Riserva Carignano del Sulcis 2016,Italy,Carignano del Sulcis,Santadi,4.1,1222,15.08,2016,red,Rocca Rubia Riserva Carignano del Sulcis 2016 Santadi red
713,Rioja Gran Reserva 2011,Spain,Rioja,Marqués de Cáceres,4.0,1225,17.69,2011,red,Rioja Gran Reserva 2011 Marqués de Cáceres red
714,Crianza 2014,Spain,Rioja,Rioja Vega,3.5,1226,7.99,2014,red,Crianza 2014 Rioja Vega red
715,Saint-Julien (Grand Cru Classé) 2007,France,Saint-Julien,Château Léoville Barton,4.1,1227,76.0,2007,red,Saint-Julien (Grand Cru Classé) 2007 Château Léoville Barton red
716,Moulis-en-Médoc 2012,France,Moulis-en-Médoc,Château Poujeaux,3.9,1227,31.19,2012,red,Moulis-en-Médoc 2012 Château Poujeaux red
717,Saint-Julien (Grand Cru Classé) 2008,France,Saint-Julien,Château Léoville Barton,4.2,1228,76.95,2008,red,Saint-Julien (Grand Cru Classé) 2008 Château Léoville Barton red
718,Poggio ai Ginepri Bolgheri 2017,Italy,Bolgheri,Tenuta Argentiera,3.9,1228,11.9,2017,red,Poggio ai Ginepri Bolgheri 2017 Tenuta Argentiera red
719,Selección Especial (Reserva) 2015,Spain,Rioja,Muga,4.3,1229,26.32,2015,red,Selección Especial (Reserva) 2015 Muga red
720,Dragone Rosso 2016,Italy,Calabria,Lento,3.8,123,13.42,2016,red,Dragone Rosso 2016 Lento red
721,Lily's Garden Shiraz 2017,Australia,McLaren Vale,Two Hands,4.2,123,49.0,2017,red,Lily's Garden Shiraz 2017 Two Hands red
722,LZ Rioja 2018,Spain,Rioja,Telmo Rodriguez,3.5,123,8.75,2018,red,LZ Rioja 2018 Telmo Rodriguez red
723,Estate Selection Cabernet Sauvignon - Merlot 2017,Slovenia,Podravje,Puklavec Family Wines,3.6,123,8.99,2017,red,Estate Selection Cabernet Sauvignon - Merlot 2017 Puklavec Family Wines red
